event_id,event_date,actor1_name,actor1_country,actor2_name,actor2_country,geo_country,geo_lat,geo_long,event_code,impact_score,num_mentions,num_sources,num_articles,avg_tone
410446941,2015-02-12,UKRAINE,UKR,UKRAINE,UKR,UP,50.4333,30.5167,110,-2.0,2,1,2,-6.22406639004149
410446942,2015-02-12,UNITED STATES,USA,,,US,37.4241,-122.166,42,1.9,1,1,1,0.71530758226037
410446943,2015-02-12,UNITED STATES,USA,SCHOOL,,US,41.6772,-71.5101,10,0.0,1,1,1,2.16919739696312
410446944,2015-02-12,UNITED STATES,USA,BIBI NETANYAHU,ISR,US,31.1801,-91.8749,51,3.4,2,1,2,0.86633663366337
410446945,2015-02-12,UNITED STATES,USA,BIBI NETANYAHU,ISR,US,33.8191,-80.9066,51,3.4,2,1,2,0.86633663366337
410446946,2015-02-12,PHOENIX,USA,ARIZONA,USA,US,33.4484,-112.074,42,1.9,10,1,10,2.7972027972028
410446947,2015-02-12,ARIZONA,USA,PHOENIX,USA,US,33.4484,-112.074,43,2.8,10,1,10,2.7972027972028
410446948,2015-02-12,OBAMA,USA,,,US,36.17,-119.746,42,1.9,6,1,6,0.71530758226037
410446949,2015-02-18,,,PRESIDENT,,NI,4.74159,7.08488,1123,-2.0,1,1,1,-7.39299610894942
410446950,2015-02-18,,,DOCTOR,,NI,6.45306,3.39583,43,2.8,10,1,10,-5.13447432762836
410446951,2015-02-18,AUSTRALIA,AUS,,,AS,-34.2333,140.567,10,0.0,4,1,4,-1.82926829268292
410446952,2015-02-18,AUSTRALIA,AUS,CHINA,CHN,AS,-35.2833,149.217,10,0.0,4,1,4,-1.15830115830116
410446953,2015-02-18,AUSTRALIA,AUS,CHINESE,CHN,CH,35.0,105.0,10,0.0,12,1,12,-1.15830115830116
410446954,2015-02-18,AUSTRALIA,AUS,DEPARTMENT OF AGRICULTURE,,CH,35.0,105.0,172,-5.0,20,1,20,-1.15830115830116
410446955,2015-02-18,XI JINPING,CHN,,,CH,28.2,112.967,10,0.0,2,1,2,3.73250388802488
410446956,2015-02-18,XI JINPING,CHN,,,CH,35.5967,116.991,10,0.0,8,1,8,3.73250388802488
410446957,2015-02-18,POLICE,,PHNOM PENH,KHM,CB,11.55,104.917,10,0.0,7,1,7,-8.23045267489711
410446958,2015-02-18,CRIMINAL,,SINGAPORE,SGP,SN,1.36278,103.897,173,-5.0,2,1,2,-6.81198910081744
410446959,2015-02-18,STATE GOVERNOR,,,,NI,7.65639,3.95556,10,0.0,2,1,2,-1.9047619047619
410446960,2015-02-18,STATE GOVERNOR,,NIGERIA,NGA,NI,7.65639,3.95556,10,0.0,6,1,6,-1.9047619047619
410446961,2015-02-18,MINIST OF LABOUR,,VIENTIANE,LAO,BX,4.95,114.85,42,1.9,8,1,8,1.3262599469496
410446962,2015-02-18,KENYA,KEN,GOVERNMENT,,KE,1.0,38.0,130,-4.4,10,1,10,-0.94117647058823
410446963,2015-02-18,PHNOM PENH,KHM,POLICE,,CB,11.55,104.917,173,-5.0,2,1,2,-8.23045267489711
410446964,2015-02-18,VIENTIANE,LAO,MINIST OF LABOUR,,LA,17.9667,102.6,43,2.8,8,1,8,1.3262599469496
410446965,2015-02-18,NIGERIA,NGA,PRESIDENT,,NI,4.74159,7.08488,1123,-2.0,2,1,2,-7.39299610894942
410446966,2015-02-18,NIGERIAN,NGA,PRESIDENTIAL CANDIDATE,,NI,13.0303,5.1938,51,3.4,1,1,1,1.61290322580645
410446967,2015-02-18,NIGERIAN,NGA,PRESIDENTIAL CANDIDATE,,NI,13.0303,5.1938,51,3.4,1,1,1,1.61290322580645
410446968,2015-02-18,NIGERIAN,NGA,PRESIDENTIAL CANDIDATE,,AU,47.3333,13.3333,51,3.4,8,1,8,1.61290322580645
410446969,2015-02-19,,,AFRICA,AFR,UK,54.0,-2.0,40,1.0,2,1,2,-0.32948929159802
410446970,2015-02-19,,,AFRICA,AFR,LY,32.8925,13.18,60,6.0,3,1,3,-1.52854072128015
410446971,2015-02-19,,,ARMENIA,ARM,AJ,40.3953,49.8822,13,0.4,8,1,8,-0.14144271570014
410446972,2015-02-19,,,ARMENIA,ARM,TU,39.0,35.0,40,1.0,8,1,8,-0.14144271570014
410446973,2015-02-19,,,AUSTRALIA,AUS,,,,36,4.0,10,1,10,-0.97560975609756
410446974,2015-02-19,,,BRISBANE,AUS,AS,-27.5,153.017,36,4.0,20,2,20,-11.2195121951219
410446975,2015-02-19,,,MELBOURNE,AUS,AS,-37.8167,144.967,36,4.0,10,1,10,1.41843971631206
410446976,2015-02-19,,,AUSTRALIA,AUS,AS,-34.9333,138.6,40,1.0,1,1,1,-0.0822368421052699
410446977,2015-02-19,,,ADELAIDE,AUS,AS,-34.9333,138.6,42,1.9,2,1,2,-0.0822368421052699
410446978,2015-02-19,,,AUSTRALIA,AUS,AS,-35.2833,149.217,42,1.9,2,1,2,-0.0822368421052699
410446979,2015-02-19,,,BELIZE,BLZ,US,42.1497,-74.9384,42,1.9,10,1,10,-1.09649122807018
410446980,2015-02-19,,,BELIZE,BLZ,BH,17.25,-88.75,51,3.4,2,1,2,-1.09649122807018
410446981,2015-02-19,,,BELIZE,BLZ,BH,17.25,-88.75,51,3.4,8,1,8,-1.09649122807018
410446982,2015-02-19,,,BUSINESS,,US,39.0646,-105.327,11,-0.1,6,1,6,-0.67114093959732
410446983,2015-02-19,,,CARMAKER,,MY,3.16667,101.7,14,0.0,10,1,10,-2.04081632653061
410446984,2015-02-19,,,STEELMAKER,,IN,18.975,72.8258,40,1.0,7,1,7,6.55737704918033
410446985,2015-02-19,,,COMPANY,,US,29.7633,-95.3633,40,1.0,20,2,20,-0.494555593731005
410446986,2015-02-19,,,BUSINESS,,US,44.0805,-103.231,51,3.4,6,1,6,-0.21598272138229
410446987,2015-02-19,,,BUSINESS,,US,44.2853,-99.4632,51,3.4,4,1,4,-0.21598272138229
410446988,2015-02-19,,,CHAMBER OF COMMERCE,,US,38.5111,-96.8005,57,8.0,5,1,5,2.00364298724955
410446989,2015-02-19,,,COMPANY,,US,39.2904,-76.6122,112,-2.0,10,1,10,-10.4347826086957
410446990,2015-02-19,,,CANADA,CAN,US,39.9523,-75.1638,20,3.0,1,1,1,1.44300144300145
410446991,2015-02-19,,,CANADA,CAN,CA,53.3333,-113.533,43,2.8,6,1,6,-6.70731707317073
410446992,2015-02-19,,,CANADA,CAN,CA,60.0,-95.0,43,2.8,4,1,4,-2.38095238095238
410446993,2015-02-19,,,CANADA,CAN,CA,47.5,-72.0,190,-10.0,2,1,2,-4.29447852760736
410446994,2015-02-19,,,SWITZERLAND,CHE,SZ,46.1956,6.14811,20,3.0,4,1,4,-1.52854072128015
410446995,2015-02-19,,,SWITZERLAND,CHE,SZ,46.1956,6.14811,51,3.4,2,1,2,-1.52854072128015
410446996,2015-02-19,,,CHINESE,CHN,CH,31.2222,121.458,10,0.0,3,1,3,1.0989010989011
410446997,2015-02-19,,,CHINA,CHN,CH,39.9289,116.388,36,4.0,10,1,10,9.46969696969697
410446998,2015-02-19,,,CHINESE,CHN,CH,31.2222,121.458,101,-5.0,3,1,3,1.0989010989011
410446999,2015-02-19,,,CANTON,CHN,US,41.5834,-72.7622,112,-2.0,3,1,3,-1.51209677419355
410447000,2015-02-19,,,CHINESE,CHN,CH,22.2,111.117,170,-7.0,6,1,6,-6.64819944598338
410447001,2015-02-19,,,DIOCESE,,US,39.5493,-76.0916,20,3.0,6,1,6,-6.06420927467301
410447002,2015-02-19,,,DIOCESE,,US,39.0724,-76.7902,20,3.0,4,1,4,-6.06420927467301
410447003,2015-02-19,,,DEPUTY,,UK,54.0,-2.0,40,1.0,3,1,3,-0.32948929159802
410447004,2015-02-19,,,POLICE,,US,34.0983,-118.327,42,1.9,5,1,5,-4.31893687707641
410447005,2015-02-19,,,POLICE,,US,41.5965,-72.8776,42,1.9,2,1,2,-1.26050420168067
410447006,2015-02-19,,,POLICE,,US,27.8333,-81.717,42,1.9,5,1,5,-3.23624595469255
410447007,2015-02-19,,,PRISON,,US,44.0407,-72.7093,42,1.9,10,1,10,0.0
410447008,2015-02-19,,,POLICE OFFICER,,US,41.5965,-72.8776,43,2.8,1,1,1,-1.26050420168067
410447009,2015-02-19,,,POLICE,,US,41.5965,-72.8776,46,7.0,1,1,1,-1.26050420168067
410447010,2015-02-19,,,POLICE,,US,41.5834,-72.7622,46,7.0,1,1,1,-1.26050420168067
410447011,2015-02-19,,,DETECTIVE,,US,36.8374,-76.3485,874,10.0,6,1,6,-2.97872340425532
410447012,2015-02-19,,,POLICE OFFICER,,KE,-2.26925,40.8991,173,-5.0,6,1,6,-6.27906976744187
410447013,2015-02-19,,,POLICE,,ZI,-17.8178,31.0447,190,-10.0,3,1,3,-1.23152709359606
410447014,2015-02-19,,,PERPETRATOR,,TU,39.0,35.0,81,5.0,10,1,10,-6.03448275862069
410447015,2015-02-19,,,PERPETRATOR,,US,38.0,-97.0,130,-4.4,5,1,5,-3.63636363636364
410447016,2015-02-19,,,CRIMINAL,,SN,1.36278,103.897,172,-5.0,4,1,4,-6.81198910081744
410447017,2015-02-19,,,PERPETRATOR,,TU,39.0,35.0,173,-5.0,10,1,10,-6.03448275862069
410447018,2015-02-19,,,CUBA,CUB,CU,21.5,-80.0,42,1.9,8,1,8,-3.49770642201834
410447019,2015-02-19,,,CUBA,CUB,ET,8.0,38.0,42,1.9,2,1,2,-3.49770642201834
410447020,2015-02-19,,,CUBAN,CUB,CU,21.5,-80.0,139,-7.0,10,1,10,-5.61797752808988
410447021,2015-02-19,,,COMMUNITY,,US,26.1254,-80.1331,20,3.0,8,1,8,2.07715133531157
410447022,2015-02-19,,,CITIZEN,,US,27.8753,-82.8512,30,4.0,5,1,5,1.23152709359606
410447023,2015-02-19,,,RESIDENTS,,US,38.8379,-82.1426,42,1.9,10,1,10,-5.61009817671809
410447024,2015-02-19,,,VOTER,,US,27.8333,-81.717,42,1.9,10,1,10,1.23152709359606
410447025,2015-02-19,,,HUNTER,,SY,35.0,38.0,42,1.9,10,1,10,-2.15633423180593
410447026,2015-02-19,,,RESIDENTS,,NG,13.6265,13.2516,43,2.8,2,1,2,-9.84615384615386
410447027,2015-02-19,,,CITIZEN,,TU,40.8028,29.4307,112,-2.0,3,1,3,-9.11680911680912
410447028,2015-02-19,,,CITIZEN,,TU,37.8714,32.4846,112,-2.0,3,1,3,-9.11680911680912
410447029,2015-02-19,,,VILLAGE,,LE,33.8333,35.8333,190,-10.0,3,1,3,-6.6027689030884
410447030,2015-02-19,,,VILLAGE,,RS,55.7522,37.6156,190,-10.0,2,1,2,-0.32715376226827
410447031,2015-02-19,,,VILLAGE,,RS,69.1609,35.1453,190,-10.0,1,1,1,-0.32715376226827
410447032,2015-02-19,,,COMMUNITY,,US,41.1289,-98.2883,190,-10.0,8,1,8,0.0
410447033,2015-02-19,,,SCHOOL,,US,38.5111,-96.8005,20,3.0,10,1,10,2.00364298724955
410447034,2015-02-19,,,UNIVERSITY,,,,,25,-0.3,10,1,10,-3.48258706467661
410447035,2015-02-19,,,SCHOOL,,CA,43.6667,-79.4167,40,1.0,10,1,10,-1.55038759689923
410447036,2015-02-19,,,SCHOOL,,US,40.3363,-89.0022,40,1.0,8,1,8,1.8450184501845
410447037,2015-02-19,,,SCHOOL,,US,43.3504,-84.5603,40,1.0,2,1,2,1.8450184501845
410447038,2015-02-19,,,COLLEGE,,ZI,-17.8178,31.0447,42,1.9,13,1,8,-2.89017341040462
410447039,2015-02-19,,,STUDENT,,SY,36.2028,37.1586,42,1.9,10,1,10,1.70212765957447
410447040,2015-02-19,,,SCHOOL,,SP,40.0,-4.0,42,1.9,10,1,10,0.0
410447041,2015-02-19,,,STUDENT,,US,44.0407,-72.7093,42,1.9,10,1,10,0.0
410447042,2015-02-19,,,EGYPT,EGY,EG,30.1667,31.1,43,2.8,3,1,3,-4.04241219350563
410447043,2015-02-19,,,EUROPE,EUR,UK,51.5,-0.116667,51,3.4,3,1,3,-0.32258064516129
410447044,2015-02-19,,,BRITAIN,GBR,UK,51.5,-0.116667,14,0.0,10,1,10,1.07913669064748
410447045,2015-02-19,,,UNITED KINGDOM,GBR,UK,57.0167,-3.25,30,4.0,8,1,8,1.80722891566265
410447046,2015-02-19,,,UNITED KINGDOM,GBR,UK,54.0,-2.0,37,5.0,10,1,10,0.93167701863354
410447047,2015-02-19,,,LONDON,GBR,US,38.8951,-77.0364,42,1.9,8,1,8,0.62735257214554
410447048,2015-02-19,,,LONDON,GBR,US,42.1497,-74.9384,42,1.9,1,1,1,-1.52854072128015
410447049,2015-02-19,,,UNITED KINGDOM,GBR,IN,13.5,76.0,42,1.9,4,1,4,1.3986013986014
410447050,2015-02-19,,,LONDON,GBR,US,44.2563,-89.6385,42,1.9,1,1,1,0.62735257214554
410447051,2015-02-19,,,UNITED KINGDOM,GBR,UK,51.0667,1.03333,43,2.8,6,1,6,2.38095238095238
410447052,2015-02-19,,,LIVERPOOL,GBR,,,,112,-2.0,5,1,5,-12.9496402877698
410447053,2015-02-19,,,UNITED KINGDOM,GBR,UK,54.0,-2.0,130,-4.4,10,1,10,-2.23463687150838
410447054,2015-02-19,,,SCOTLAND,GBR,UK,54.0,-2.0,43,2.8,5,1,5,-7.82608695652174
410447055,2015-02-19,,,GHANA,GHA,GH,5.55,-0.216667,10,0.0,3,1,3,-1.26182965299685
410447056,2015-02-19,,,GOVERNMENT,,NZ,-41.3,174.783,12,-0.4,11,1,11,-3.18016614745587
410447057,2015-02-19,,,ADMINISTRATION,,US,42.2373,-71.5314,14,0.0,15,2,15,-0.0638821836978533
410447058,2015-02-19,,,GOVERNMENT,,IN,11.0,78.0,20,3.0,10,1,10,-2.74725274725275
410447059,2015-02-19,,,ADMINISTRATION,,US,42.2373,-71.5314,20,3.0,15,2,15,-0.0638821836978533
410447060,2015-02-19,,,GOVERNMENT,,AS,-27.0,133.0,25,-0.3,2,1,2,2.68456375838926
410447061,2015-02-19,,,GOVERNMENT,,,,,31,5.2,15,2,15,-6.83208229079789
410447062,2015-02-19,,,MINIST,,IN,23.0333,72.6167,36,4.0,6,1,6,-0.0595947556614997
410447063,2015-02-19,,,PRIME MINISTER,,IN,13.1075,77.6003,36,4.0,5,1,5,1.13314447592068
